Mating group (foursome),Mom,Dad,Treatment,y (growth rate),,,Notes:,,,,
3,1,1,M,14.9296,,,,,,,
3,1,1,L,14.76776,,,,,,,
3,1,1,L,10.6874,,,,,,,
3,2,1,S,15.11476,,,,,,,
3,2,1,S,9.91944,,,,,,,
3,2,1,M,9.82654,,,,,,,
3,2,1,M,9.4639,,,,,,,
3,2,1,L,9.28798,,,,,,,
3,2,1,L,9.97558,,,,,,,
3,1,2,S,13.10002,,,,,,,
3,1,2,S,14.56052,,,,,,,
3,1,2,M,8.42042,,,,,,,
3,1,2,M,9.6312,,,,,,,
3,1,2,L,14.34236,,,,,,,
3,1,2,L,15.94956,,,,,,,
3,2,2,S,12.2997,,,,,,,
3,2,2,S,13.56804,,,,,,,
3,2,2,M,9.66062,,,,,,,
3,2,2,M,9.11948,,,,,,,
3,2,2,L,5.79142,,,,,,,
3,2,2,L,13.62362,,,,,,,
4,1,1,S,10.37556,,,,,,,
4,1,1,S,13.343,,,,,,,
4,1,1,M,13.70798,,,,,,,
4,1,1,M,10.5148,,,,,,,
4,1,1,L,14.67732,,,,,,,
4,1,1,L,11.92388,,,,,,,
4,2,1,S,11.13172,,,,,,,
4,2,1,S,10.92116,,,,,,,
4,2,1,M,9.06472,,,,,,,
4,2,1,M,9.8729,,,,,,,
4,2,1,L,10.09074,,,,,,,
4,2,1,L,11.43824,,,,,,,
4,1,2,S,13.55102,,,,,,,
4,1,2,S,12.01058,,,,,,,
4,1,2,M,12.52582,,,,,,,
4,1,2,M,9.46542,,,,,,,
4,1,2,L,9.76676,,,,,,,
4,1,2,L,7.64832,,,,,,,
4,2,2,S,11.19732,,,,,,,
4,2,2,S,14.19902,,,,,,,
4,2,2,M,8.85426,,,,,,,
4,2,2,M,10.02322,,,,,,,
4,2,2,L,13.59318,,,,,,,
4,2,2,L,9.34134,,,,,,,
5,1,1,S,14.46594,,,,,,,
5,1,1,S,12.32824,,,,,,,
5,1,1,M,10.65678,,,,,,,
5,1,1,M,9.78288,,,,,,,
5,1,1,L,11.8684,,,,,,,
5,1,1,L,11.9862,,,,,,,
5,2,1,S,8.494,,,,,,,
5,2,1,S,11.23104,,,,,,,
5,2,1,M,8.21354,,,,,,,
5,2,1,M,10.42794,,,,,,,
5,2,1,L,11.37296,,,,,,,
5,2,1,L,8.25134,,,,,,,
5,1,2,S,11.11956,,,,,,,
5,1,2,S,14.40284,,,,,,,
5,1,2,M,11.79412,,,,,,,
5,1,2,M,11.07322,,,,,,,
5,1,2,L,14.44484,,,,,,,
5,1,2,L,10.95034,,,,,,,
5,2,2,S,13.111,,,,,,,
5,2,2,S,11.20354,,,,,,,
5,2,2,M,10.81416,,,,,,,
5,2,2,M,14.31258,,,,,,,
5,2,2,L,12.55352,,,,,,,
5,2,2,L,8.27834,,,,,,,
6,1,1,S,11.38734,,,,,,,
6,1,1,S,13.34762,,,,,,,
6,1,1,M,10.15074,,,,,,,
6,1,1,M,14.0732,,,,,,,
6,1,1,L,10.77758,,,,,,,
6,1,1,L,10.84838,,,,,,,
6,2,1,S,12.6809,,,,,,,
6,2,1,S,9.51674,,,,,,,
6,2,1,M,10.44576,,,,,,,
6,2,1,M,14.82104,,,,,,,
6,2,1,L,10.65138,,,,,,,
6,2,1,L,9.96152,,,,,,,
6,1,2,S,11.86392,,,,,,,
6,1,2,S,10.89722,,,,,,,
6,1,2,M,10.312,,,,,,,
6,1,2,M,10.87346,,,,,,,
6,1,2,L,12.06022,,,,,,,
6,1,2,L,8.9334,,,,,,,
6,2,2,S,12.42352,,,,,,,
6,2,2,S,11.3188,,,,,,,
6,2,2,M,11.3078,,,,,,,
6,2,2,M,11.72382,,,,,,,
6,2,2,L,9.63642,,,,,,,
6,2,2,L,7.79508,,,,,,,
7,1,1,S,14.62058,,,,,,,
7,1,1,S,14.94824,,,,,,,
7,1,1,M,12.40576,,,,,,,
7,1,1,M,11.77826,,,,,,,
7,1,1,L,12.7231,,,,,,,
7,1,1,L,8.62144,,,,,,,
7,2,1,S,6.5864,,,,,,,
7,2,1,S,8.8804,,,,,,,
7,2,1,M,8.88404,,,,,,,
7,2,1,M,10.51048,,,,,,,
7,2,1,L,12.3737,,,,,,,
7,2,1,L,8.9585,,,,,,,
7,1,2,S,9.84036,,,,,,,
7,1,2,S,8.27234,,,,,,,
7,1,2,M,13.02268,,,,,,,
7,1,2,M,5.99036,,,,,,,
7,1,2,L,7.96732,,,,,,,
7,1,2,L,11.99578,,,,,,,
7,2,2,S,8.51314,,,,,,,
7,2,2,S,8.38158,,,,,,,
7,2,2,M,9.76136,,,,,,,
7,2,2,M,9.962,,,,,,,
7,2,2,L,11.09484,,,,,,,
7,2,2,L,9.05098,,,,,,,
8,1,1,S,13.85274,,,,,,,
8,1,1,S,13.56562,,,,,,,
8,1,1,M,14.29212,,,,,,,
8,1,1,M,12.5177,,,,,,,
8,1,1,L,11.70976,,,,,,,
8,1,1,L,14.3279,,,,,,,
8,2,1,S,10.45516,,,,,,,
8,2,1,S,10.0528,,,,,,,
8,2,1,M,10.51618,,,,,,,
8,2,1,M,10.5244,,,,,,,
8,2,1,L,8.67972,,,,,,,
8,2,1,L,10.91516,,,,,,,
8,1,2,S,13.85874,,,,,,,
8,1,2,S,14.05668,,,,,,,
8,1,2,M,12.39604,,,,,,,
8,1,2,M,14.33008,,,,,,,
8,1,2,L,11.20446,,,,,,,
8,1,2,L,11.75948,,,,,,,
8,2,2,S,11.54682,,,,,,,
8,2,2,S,10.9302,,,,,,,
8,2,2,M,10.60372,,,,,,,
8,2,2,M,13.62866,,,,,,,
8,2,2,L,11.02456,,,,,,,
8,2,2,L,11.97574,,,,,,,
9,1,1,S,15.72428,,,,,,,
9,1,1,S,12.85062,,,,,,,
9,1,1,M,12.77268,,,,,,,
9,1,1,M,12.28292,,,,,,,
9,1,1,L,8.92598,,,,,,,
9,1,1,L,9.17784,,,,,,,
9,2,1,S,12.75282,,,,,,,
9,2,1,S,9.01694,,,,,,,
9,2,1,M,7.60054,,,,,,,
9,2,1,M,12.04354,,,,,,,
9,2,1,L,11.36442,,,,,,,
9,2,1,L,10.67736,,,,,,,
9,1,2,S,10.84886,,,,,,,
9,1,2,S,8.1062,,,,,,,
9,1,2,M,9.99264,,,,,,,
9,1,2,M,8.22218,,,,,,,
9,1,2,L,14.37404,,,,,,,
9,1,2,L,13.2131,,,,,,,
9,2,2,S,5.16468,,,,,,,
9,2,2,S,10.24436,,,,,,,
9,2,2,M,9.79132,,,,,,,
9,2,2,M,10.12774,,,,,,,
9,2,2,L,13.13084,,,,,,,
9,2,2,L,11.49608,,,,,,,
10,1,1,S,15.52606,,,,,,,
10,1,1,S,12.69886,,,,,,,
10,1,1,M,11.47024,,,,,,,
10,1,1,M,10.05596,,,,,,,
10,1,1,L,13.0192,,,,,,,
10,1,1,L,12.69874,,,,,,,
10,2,1,S,10.88902,,,,,,,
10,2,1,S,5.68564,,,,,,,
10,2,1,M,11.27018,,,,,,,
10,2,1,M,12.1534,,,,,,,
10,2,1,L,11.02702,,,,,,,
10,2,1,L,11.6787,,,,,,,
10,1,2,S,10.32566,,,,,,,
10,1,2,S,14.74674,,,,,,,
10,1,2,M,9.3896,,,,,,,
10,1,2,M,8.94668,,,,,,,
10,1,2,L,12.0784,,,,,,,
10,1,2,L,7.62664,,,,,,,
10,2,2,S,11.13554,,,,,,,
10,2,2,S,9.05224,,,,,,,
10,2,2,M,8.8989,,,,,,,
10,2,2,M,7.02396,,,,,,,
10,2,2,L,10.23864,,,,,,,
10,2,2,L,13.36454,,,,,,,
11,1,1,S,14.44066,,,,,,,
11,1,1,S,13.79604,,,,,,,
11,1,1,M,9.64842,,,,,,,
11,1,1,M,12.84584,,,,,,,
11,1,1,L,11.3283,,,,,,,
11,1,1,L,7.40224,,,,,,,
11,2,1,S,7.44258,,,,,,,
11,2,1,S,11.63666,,,,,,,
11,2,1,M,11.4724,,,,,,,
11,2,1,M,9.04322,,,,,,,
11,2,1,L,11.5377,,,,,,,
11,2,1,L,7.49368,,,,,,,
11,1,2,S,12.03578,,,,,,,
11,1,2,S,10.0389,,,,,,,
11,1,2,M,5.39418,,,,,,,
11,1,2,M,7.21558,,,,,,,
11,1,2,L,7.3099,,,,,,,
11,1,2,L,11.90882,,,,,,,
11,2,2,S,12.88936,,,,,,,
11,2,2,S,8.01632,,,,,,,
11,2,2,M,8.3318,,,,,,,
11,2,2,M,10.5756,,,,,,,
11,2,2,L,10.4585,,,,,,,
11,2,2,L,11.68232,,,,,,,
12,1,1,S,12.14986,,,,,,,
12,1,1,S,8.47014,,,,,,,
12,1,1,M,7.78216,,,,,,,
12,1,1,M,9.98312,,,,,,,
12,1,1,L,9.72328,,,,,,,
12,1,1,L,9.03974,,,,,,,
12,2,1,S,9.46676,,,,,,,
12,2,1,S,7.2949,,,,,,,
12,2,1,M,7.8212,,,,,,,
12,2,1,M,13.16368,,,,,,,
12,2,1,L,9.21842,,,,,,,
12,2,1,L,10.685,,,,,,,
12,1,2,S,9.29384,,,,,,,
12,1,2,S,12.56344,,,,,,,
12,1,2,M,11.37886,,,,,,,
12,1,2,M,11.2943,,,,,,,
12,1,2,L,10.7873,,,,,,,
12,1,2,L,8.73264,,,,,,,
12,2,2,S,12.28876,,,,,,,
12,2,2,S,9.20832,,,,,,,
12,2,2,M,6.38648,,,,,,,
12,2,2,M,9.8785,,,,,,,
12,2,2,L,7.74802,,,,,,,
12,2,2,L,9.63782,,,,,,,
13,1,1,S,11.23754,,,,,,,
13,1,1,S,8.53564,,,,,,,
13,1,1,M,11.3539,,,,,,,
13,1,1,M,10.01608,,,,,,,
13,1,1,L,9.62862,,,,,,,
13,1,1,L,8.7157,,,,,,,
13,2,1,S,10.30798,,,,,,,
13,2,1,S,8.15414,,,,,,,
13,2,1,M,9.5415,,,,,,,
13,2,1,M,9.39182,,,,,,,
13,2,1,L,11.41854,,,,,,,
13,2,1,L,11.04752,,,,,,,
13,1,2,S,9.62534,,,,,,,
13,1,2,S,11.44996,,,,,,,
13,1,2,M,11.18678,,,,,,,
13,1,2,M,9.45418,,,,,,,
13,1,2,L,8.15012,,,,,,,
13,1,2,L,6.34656,,,,,,,
13,2,2,S,10.5419,,,,,,,
13,2,2,S,11.69396,,,,,,,
13,2,2,M,6.64962,,,,,,,
13,2,2,M,8.34168,,,,,,,
13,2,2,L,7.63012,,,,,,,
13,2,2,L,11.74152,,,,,,,
14,1,1,S,12.70912,,,,,,,
14,1,1,S,9.18602,,,,,,,
14,1,1,M,11.23874,,,,,,,
14,1,1,M,13.7766,,,,,,,
14,1,1,L,12.94274,,,,,,,
14,1,1,L,11.0845,,,,,,,
14,2,1,S,11.08802,,,,,,,
14,2,1,S,11.04006,,,,,,,
14,2,1,M,12.58872,,,,,,,
14,2,1,M,7.74182,,,,,,,
14,2,1,L,10.13312,,,,,,,
14,2,1,L,9.04868,,,,,,,
14,1,2,S,7.46792,,,,,,,
14,1,2,S,8.1761,,,,,,,
14,1,2,M,9.463,,,,,,,
14,1,2,M,8.75932,,,,,,,
14,1,2,L,6.83272,,,,,,,
14,1,2,L,7.56322,,,,,,,
14,2,2,S,11.3166,,,,,,,
14,2,2,S,14.259,,,,,,,
14,2,2,M,12.42504,,,,,,,
14,2,2,M,9.70828,,,,,,,
14,2,2,L,10.4631,,,,,,,
14,2,2,L,11.59312,,,,,,,
15,1,1,S,12.89954,,,,,,,
15,1,1,S,10.73788,,,,,,,
15,1,1,M,8.55186,,,,,,,
15,1,1,M,11.85768,,,,,,,
15,1,1,L,8.2936,,,,,,,
15,1,1,L,11.28654,,,,,,,
15,2,1,S,7.42346,,,,,,,
15,2,1,S,9.67382,,,,,,,
15,2,1,M,6.65816,,,,,,,
15,2,1,M,7.15704,,,,,,,
15,2,1,L,11.26216,,,,,,,
15,2,1,L,7.30446,,,,,,,
15,1,2,S,8.0618,,,,,,,
15,1,2,S,10.78152,,,,,,,
15,1,2,M,7.02784,,,,,,,
15,1,2,M,7.40204,,,,,,,
15,1,2,L,10.56226,,,,,,,
15,1,2,L,9.1254,,,,,,,
15,2,2,S,8.06334,,,,,,,
15,2,2,S,8.5405,,,,,,,
15,2,2,M,10.69858,,,,,,,
15,2,2,M,11.3869,,,,,,,
15,2,2,L,9.69124,,,,,,,
15,2,2,L,10.02548,,,,,,,
16,1,1,S,15.22702,,,,,,,
16,1,1,S,15.55328,,,,,,,
16,1,1,M,7.91994,,,,,,,
16,1,1,M,9.42598,,,,,,,
16,1,1,L,9.5977,,,,,,,
16,1,1,L,11.61726,,,,,,,
16,2,1,S,11.5257,,,,,,,
16,2,1,S,10.75962,,,,,,,
16,2,1,M,11.03386,,,,,,,
16,2,1,M,12.03126,,,,,,,
16,2,1,L,7.55886,,,,,,,
16,2,1,L,8.14142,,,,,,,
16,1,2,S,8.5291,,,,,,,
16,1,2,S,8.49678,,,,,,,
16,1,2,M,8.26938,,,,,,,
16,1,2,M,8.27906,,,,,,,
16,1,2,L,7.16442,,,,,,,
16,1,2,L,8.82432,,,,,,,
16,2,2,S,11.0365,,,,,,,
16,2,2,S,11.28868,,,,,,,
16,2,2,M,7.5285,,,,,,,
16,2,2,M,10.13146,,,,,,,
16,2,2,L,7.28902,,,,,,,
16,2,2,L,5.62634,,,,,,,
17,1,1,S,10.20328,,,,,,,
17,1,1,S,11.58868,,,,,,,
17,1,1,M,14.34138,,,,,,,
17,1,1,M,11.8144,,,,,,,
17,1,1,L,8.01482,,,,,,,
17,1,1,L,11.36438,,,,,,,
17,2,1,S,9.39188,,,,,,,
17,2,1,S,6.74716,,,,,,,
17,2,1,M,12.4235,,,,,,,
17,2,1,M,11.59894,,,,,,,
17,2,1,L,11.65864,,,,,,,
17,2,1,L,6.89314,,,,,,,
17,1,2,S,6.51362,,,,,,,
17,1,2,S,8.32122,,,,,,,
17,1,2,M,8.60618,,,,,,,
17,1,2,M,11.76782,,,,,,,
17,1,2,L,8.39326,,,,,,,
17,1,2,L,12.05346,,,,,,,
17,2,2,S,7.319,,,,,,,
17,2,2,S,9.23612,,,,,,,
17,2,2,M,13.76308,,,,,,,
17,2,2,M,6.32804,,,,,,,
17,2,2,L,7.69822,,,,,,,
17,2,2,L,7.54012,,,,,,,
18,1,1,S,11.02346,,,,,,,
18,1,1,S,12.7347,,,,,,,
18,1,1,M,7.78706,,,,,,,
18,1,1,M,10.26638,,,,,,,
18,1,1,L,12.02872,,,,,,,
18,1,1,L,11.88416,,,,,,,
18,2,1,S,12.09906,,,,,,,
18,2,1,S,11.35802,,,,,,,
18,2,1,M,9.7281,,,,,,,
18,2,1,M,7.53786,,,,,,,
18,2,1,L,8.938,,,,,,,
18,2,1,L,11.16302,,,,,,,
18,1,2,S,8.10184,,,,,,,
18,1,2,S,10.27412,,,,,,,
18,1,2,M,9.25218,,,,,,,
18,1,2,M,11.34912,,,,,,,
18,1,2,L,8.31144,,,,,,,
18,1,2,L,8.95146,,,,,,,
18,2,2,S,12.3991,,,,,,,
18,2,2,S,10.04566,,,,,,,
18,2,2,M,12.51538,,,,,,,
18,2,2,M,9.1307,,,,,,,
18,2,2,L,9.66164,,,,,,,
18,2,2,L,11.03724,,,,,,,
19,1,1,S,12.19218,,,,,,,
19,1,1,S,11.8429,,,,,,,
19,1,1,M,9.21712,,,,,,,
19,1,1,M,7.41316,,,,,,,
19,1,1,L,12.46288,,,,,,,
19,1,1,L,7.3011,,,,,,,
19,2,1,S,13.2004,,,,,,,
19,2,1,S,8.7288,,,,,,,
19,2,1,M,7.50748,,,,,,,
19,2,1,M,12.7498,,,,,,,
19,2,1,L,9.32264,,,,,,,
19,2,1,L,7.02638,,,,,,,
19,1,2,S,10.10314,,,,,,,
19,1,2,S,6.71524,,,,,,,
19,1,2,M,6.6531,,,,,,,
19,1,2,M,5.62102,,,,,,,
19,1,2,L,5.20362,,,,,,,
19,1,2,L,9.65212,,,,,,,
19,2,2,S,7.87612,,,,,,,
19,2,2,S,10.67492,,,,,,,
19,2,2,M,11.50978,,,,,,,
19,2,2,M,10.26946,,,,,,,
19,2,2,L,6.72316,,,,,,,
19,2,2,L,3.32308,,,,,,,
20,1,1,S,16.62792,,,,,,,
20,1,1,S,9.0292,,,,,,,
20,1,1,M,12.44986,,,,,,,
20,1,1,M,8.90786,,,,,,,
20,1,1,L,9.76234,,,,,,,
20,1,1,L,12.70046,,,,,,,
20,2,1,S,8.97424,,,,,,,
20,2,1,S,10.9374,,,,,,,
20,2,1,M,10.56266,,,,,,,
20,2,1,M,9.94948,,,,,,,
20,2,1,L,8.2182,,,,,,,
20,2,1,L,8.53108,,,,,,,
20,1,2,S,8.99168,,,,,,,
20,1,2,S,9.80542,,,,,,,
20,1,2,M,8.28874,,,,,,,
20,1,2,M,10.29792,,,,,,,
20,1,2,L,7.22984,,,,,,,
20,1,2,L,5.95232,,,,,,,
20,2,2,S,13.2583,,,,,,,
20,2,2,S,5.79066,,,,,,,
20,2,2,M,11.0569,,,,,,,
20,2,2,M,8.1215,,,,,,,
20,2,2,L,11.73356,,,,,,,
20,2,2,L,6.42834,,,,,,,
21,1,1,S,9.6876,,,,,,,
21,1,1,S,8.1321,,,,,,,
21,1,1,M,8.5623,,,,,,,
21,1,1,M,8.3235,,,,,,,
21,1,1,L,10.92358,,,,,,,
21,1,1,L,12.5982,,,,,,,
21,2,1,S,12.60836,,,,,,,
21,2,1,S,12.36866,,,,,,,
21,2,1,M,8.98148,,,,,,,
21,2,1,M,8.95446,,,,,,,
21,2,1,L,5.75684,,,,,,,
21,2,1,L,9.0376,,,,,,,
21,1,2,S,13.92724,,,,,,,
21,1,2,S,9.67738,,,,,,,
21,1,2,M,16.03568,,,,,,,
21,1,2,M,8.181,,,,,,,
21,1,2,L,11.51086,,,,,,,
21,1,2,L,11.56452,,,,,,,
21,2,2,S,13.12184,,,,,,,
21,2,2,S,12.1327,,,,,,,
21,2,2,M,7.76178,,,,,,,
21,2,2,M,10.29496,,,,,,,
21,2,2,L,10.65482,,,,,,,
21,2,2,L,10.05792,,,,,,,
22,1,1,S,9.6206,,,,,,,
22,1,1,S,9.55054,,,,,,,
22,1,1,M,10.71562,,,,,,,
22,1,1,M,6.29514,,,,,,,
22,1,1,L,10.13218,,,,,,,
22,1,1,L,9.90062,,,,,,,
22,2,1,S,12.19312,,,,,,,
22,2,1,S,11.3205,,,,,,,
22,2,1,M,11.56942,,,,,,,
22,2,1,M,7.44312,,,,,,,
22,2,1,L,7.2988,,,,,,,
22,2,1,L,8.5806,,,,,,,
22,1,2,S,13.0646,,,,,,,
22,1,2,S,12.8417,,,,,,,
22,1,2,M,10.46646,,,,,,,
22,1,2,M,13.60548,,,,,,,
22,1,2,L,10.65638,,,,,,,
22,1,2,L,13.9256,,,,,,,
22,2,2,S,10.23538,,,,,,,
22,2,2,S,13.97426,,,,,,,
22,2,2,M,13.21058,,,,,,,
22,2,2,M,11.23288,,,,,,,
22,2,2,L,7.22234,,,,,,,
22,2,2,L,11.11816,,,,,,,
23,1,1,S,12.75272,,,,,,,
23,1,1,S,8.77552,,,,,,,
23,1,1,M,8.93088,,,,,,,
23,1,1,M,14.08394,,,,,,,
23,1,1,L,10.58746,,,,,,,
23,1,1,L,9.00978,,,,,,,
23,2,1,S,11.93112,,,,,,,
23,2,1,S,9.62718,,,,,,,
23,2,1,M,9.7933,,,,,,,
23,2,1,M,10.01094,,,,,,,
23,2,1,L,7.62546,,,,,,,
23,2,1,L,9.92498,,,,,,,
23,1,2,S,14.91386,,,,,,,
23,1,2,S,11.8117,,,,,,,
23,1,2,M,13.30136,,,,,,,
23,1,2,M,11.91314,,,,,,,
23,1,2,L,13.20168,,,,,,,
23,1,2,L,9.4337,,,,,,,
23,2,2,S,9.33386,,,,,,,
23,2,2,S,9.81054,,,,,,,
23,2,2,M,9.38204,,,,,,,
23,2,2,M,10.05726,,,,,,,
23,2,2,L,5.60288,,,,,,,
23,2,2,L,8.30746,,,,,,,
24,1,1,S,8.53674,,,,,,,
24,1,1,S,10.6877,,,,,,,
24,1,1,M,6.75646,,,,,,,
24,1,1,M,12.8635,,,,,,,
24,1,1,L,8.60428,,,,,,,
24,1,1,L,7.4862,,,,,,,
24,2,1,S,10.10392,,,,,,,
24,2,1,S,12.19502,,,,,,,
24,2,1,M,4.52324,,,,,,,
24,2,1,M,13.37068,,,,,,,
24,2,1,L,9.6718,,,,,,,
24,2,1,L,12.6652,,,,,,,
24,1,2,S,12.33722,,,,,,,
24,1,2,S,9.48742,,,,,,,
24,1,2,M,9.92956,,,,,,,
24,1,2,M,9.57856,,,,,,,
24,1,2,L,9.82638,,,,,,,
24,1,2,L,11.44348,,,,,,,
24,2,2,S,11.5011,,,,,,,
24,2,2,S,13.6529,,,,,,,
24,2,2,M,7.15532,,,,,,,
24,2,2,M,10.15256,,,,,,,
24,2,2,L,9.08444,,,,,,,
24,2,2,L,12.69388,,,,,,,
25,1,1,S,8.90824,,,,,,,
25,1,1,S,9.37052,,,,,,,
25,1,1,M,10.07662,,,,,,,
25,1,1,M,9.11408,,,,,,,
25,1,1,L,10.10786,,,,,,,
25,1,1,L,15.61942,,,,,,,
25,2,1,S,13.40668,,,,,,,
25,2,1,S,10.97268,,,,,,,
25,2,1,M,12.16918,,,,,,,
25,2,1,M,7.44592,,,,,,,
25,2,1,L,11.14026,,,,,,,
25,2,1,L,12.77356,,,,,,,
25,1,2,S,12.3774,,,,,,,
25,1,2,S,13.33982,,,,,,,
25,1,2,M,11.33144,,,,,,,
25,1,2,M,10.6197,,,,,,,
25,1,2,L,11.07378,,,,,,,
25,1,2,L,9.18468,,,,,,,
25,2,2,S,11.47462,,,,,,,
25,2,2,S,9.56648,,,,,,,
25,2,2,M,11.98968,,,,,,,
25,2,2,M,9.43034,,,,,,,
25,2,2,L,6.4579,,,,,,,
25,2,2,L,9.77092,,,,,,,
26,1,1,S,8.83588,,,,,,,
26,1,1,S,6.77676,,,,,,,
26,1,1,M,10.66392,,,,,,,
26,1,1,M,10.63088,,,,,,,
26,1,1,L,11.92502,,,,,,,
26,1,1,L,6.41238,,,,,,,
26,2,1,S,10.41356,,,,,,,
26,2,1,S,10.7466,,,,,,,
26,2,1,M,12.57584,,,,,,,
26,2,1,M,9.14784,,,,,,,
26,2,1,L,7.20934,,,,,,,
26,2,1,L,10.10456,,,,,,,
26,1,2,S,13.99938,,,,,,,
26,1,2,S,10.58924,,,,,,,
26,1,2,M,8.64454,,,,,,,
26,1,2,M,12.07154,,,,,,,
26,1,2,L,13.0717,,,,,,,
26,1,2,L,10.6246,,,,,,,
26,2,2,S,8.49174,,,,,,,
26,2,2,S,11.20448,,,,,,,
26,2,2,M,7.27126,,,,,,,
26,2,2,M,9.66738,,,,,,,
26,2,2,L,7.83186,,,,,,,
26,2,2,L,7.84416,,,,,,,
27,1,1,S,10.41856,,,,,,,
27,1,1,S,10.56256,,,,,,,
27,1,1,M,9.13208,,,,,,,
27,1,1,M,7.04986,,,,,,,
27,1,1,L,9.59128,,,,,,,
27,1,1,L,11.66136,,,,,,,
27,2,1,S,10.69618,,,,,,,
27,2,1,S,10.73788,,,,,,,
27,2,1,M,5.25718,,,,,,,
27,2,1,M,11.23552,,,,,,,
27,2,1,L,9.83428,,,,,,,
27,2,1,L,10.13454,,,,,,,
27,1,2,S,11.07718,,,,,,,
27,1,2,S,11.36526,,,,,,,
27,1,2,M,9.96294,,,,,,,
27,1,2,M,14.08974,,,,,,,
27,1,2,L,9.0562,,,,,,,
27,1,2,L,7.57146,,,,,,,
27,2,2,S,12.53614,,,,,,,
27,2,2,S,9.71714,,,,,,,
27,2,2,M,9.7535,,,,,,,
27,2,2,M,10.67988,,,,,,,
27,2,2,L,7.99564,,,,,,,
27,2,2,L,6.6271,,,,,,,
28,1,1,S,10.4931,,,,,,,
28,1,1,S,11.53418,,,,,,,
28,1,1,M,12.09268,,,,,,,
28,1,1,M,10.20004,,,,,,,
28,1,1,L,12.61162,,,,,,,
28,1,1,L,11.35386,,,,,,,
28,2,1,S,11.59114,,,,,,,
28,2,1,S,14.23114,,,,,,,
28,2,1,M,8.5096,,,,,,,
28,2,1,M,9.049,,,,,,,
28,2,1,L,12.6233,,,,,,,
28,2,1,L,9.30848,,,,,,,
28,1,2,S,10.89284,,,,,,,
28,1,2,S,10.9209,,,,,,,
28,1,2,M,9.63242,,,,,,,
28,1,2,M,9.9671,,,,,,,
28,1,2,L,11.12526,,,,,,,
28,1,2,L,11.1637,,,,,,,
28,2,2,S,11.6162,,,,,,,
28,2,2,S,14.33024,,,,,,,
28,2,2,M,11.33706,,,,,,,
28,2,2,M,7.78884,,,,,,,
28,2,2,L,13.11626,,,,,,,
28,2,2,L,7.75098,,,,,,,
29,1,1,S,12.86116,,,,,,,
29,1,1,S,8.1153,,,,,,,
29,1,1,M,8.4053,,,,,,,
29,1,1,M,10.30538,,,,,,,
29,1,1,L,7.4421,,,,,,,
29,1,1,L,9.43534,,,,,,,
29,2,1,S,10.28858,,,,,,,
29,2,1,S,11.58436,,,,,,,
29,2,1,M,9.94072,,,,,,,
29,2,1,M,8.60772,,,,,,,
29,2,1,L,5.5503,,,,,,,
29,2,1,L,12.7056,,,,,,,
29,1,2,S,13.00678,,,,,,,
29,1,2,S,10.53728,,,,,,,
29,1,2,M,9.38696,,,,,,,
29,1,2,M,9.14176,,,,,,,
29,1,2,L,12.52524,,,,,,,
29,1,2,L,13.55428,,,,,,,
29,2,2,S,11.66038,,,,,,,
29,2,2,S,15.53192,,,,,,,
29,2,2,M,7.56298,,,,,,,
29,2,2,M,9.88342,,,,,,,
29,2,2,L,9.23728,,,,,,,
29,2,2,L,10.13132,,,,,,,
30,1,1,S,13.56688,,,,,,,
